user_id,days,TotalCount
968633848899735557,84,435
2432333268,1507,12927
1097189011,1952,3960
2319339266,1574,234122
864285830906392576,372,30
4654882162,875,12783
48153060,3261,5554
20162512,3394,65064
780499750260994048,604,2485
4259175317,912,12749
927462152063148032,198,1595
1650536515,1751,60278
131031011,2966,3535
819300443981496326,497,16512
4716882492,868,30770
2811795667,1346,17502
1965425449,1680,8713
308674565,2549,159185
4627221853,883,22914
1432040269,1833,1872
16177626,3544,80957
121800343,2996,46028
895669971363143680,286,1344
878742963014299648,332,17484
83205874,3140,12313
1948035834,1687,63634
4800723796,860,142591
237042055,2688,34885
709076044343541761,801,39992
740737945619947521,713,99866
943657164907991040,153,1531
13850422,3742,2612520
3165472913,1135,4124
24311097,3357,49123
1917731,4080,2998027
762728510267863040,653,232495
1565982361,1785,17765
31480713,3325,18418
159254509,2889,69884
831159630172680195,464,44789
16349648,3534,25600
1598802739,1772,61685
957244362026635264,116,92
221654816,2730,15467
364633342,2458,3980
871116008,2051,117488
813094566,2082,37105
708168355488731136,803,40787
776662695454146560,614,24626
1289848416,1888,12111
2416575439,1517,5648
14196618,3714,10104
15222499,3620,18690
807198291448516608,530,6377
361626502,2463,23666
1097189011,1952,3960
1373192226,1856,34145
953386300522094598,127,10720
929353185457778688,193,31138
1729925778,1722,72711
5379272,4050,12018
709062449320824832,801,116774
813579403024273408,512,103248
985311739,1998,90855
190170261,2809,52166
238497343,2685,4804
951093207634341888,133,13061
246162336,2667,3539
564111558,2218,235900
4710075134,870,18529
756505449063645184,670,39363
3694776794,970,19074
61325310,3219,47999
16796836,3506,17968
872096443082866688,351,15388
1679637013,1739,34824
823992170768121857,484,64126
4877021170,839,2043
4266990442,911,50322
567841401,2213,16462
798903323260751872,553,18742
798615495691751424,554,9936
21651444,3376,14723
18107739,3447,5145
331828541,2511,35065
353849714,2476,46180
24529486,3356,6286
226406768,2717,632
759622668,2107,4306
123614006,2990,25643
3150098774,1138,103492
1075481690,1959,14532
45733309,3270,119264
133249208,2960,9452
1347332816,1867,22754
49092671,3259,1943
817081293737369600,503,4547
787791246702022656,583,48921
1158683395,1930,902
961489315237777409,104,687
3140485603,1144,9104
877438526413000705,336,15027
18337332,3438,1324
57332764,3233,25900
1307546270,1883,10108
18185339,3444,199566
3401756152,1024,75823
2573675870,1435,12397
2750369134,1369,82991
824996460026540033,481,41268
3205234526,1102,3244
21509421,3378,32942
136587906,2951,211
608209503,2169,16725
21771686,3375,25672
711477402,2130,112736
927092933580374022,199,12050
52605101,3248,1131
143325651,2932,6146
3098198134,1160,13573
3075618404,1168,372
436229682,2352,395
838764624199680000,443,13522
2877123289,1306,109030
24081135,3358,39734
18291619,3440,64268
39469211,3298,579
561607211,2220,19384
3113032010,1152,12330
787762339235835904,584,7064
1692184268,1735,8642
85429734,3131,10971
47577073,3263,15961
24310450,3357,51009
632159055,2143,6061
221121595,2732,108695
136881432,2950,62821
963922729517772800,97,3532
32608996,3323,4529
306055499,2553,69838
908372626023706624,251,5978
761983062511120385,655,17598
2557488391,1444,18029
816695316,2080,9439
866725818973777920,366,19487
572691692,2208,10326
935953074245505024,175,4505
4229931792,921,25711
1383905040,1852,167789
767194087153864707,640,672
161121502,2884,88059
115065615,3017,7230
876127954903875587,340,36783
815740172,2081,15393
786297096315871232,588,5044
4898819937,832,616
316578266,2536,481994
15418054,3601,54283
822188390804230144,489,4953
3884374874,953,57217
3167687722,1134,14167
783759509432836097,595,11729
3314715548,1013,32754
2341589400,1560,29201
2998674524,1212,4521
179328433,2836,2919
795040584,2090,25691
2415968864,1517,16306
857936728165896204,390,75343
2922305530,1255,58002
4103007988,932,61511
36884250,3309,81906
819231737637117952,497,114418
753862173475082241,677,71827
21122923,3382,8653
704799341098221568,813,1628
2277864330,1599,69159
20729667,3386,103129
1102337286,1950,2448
809164516508499968,525,44468
116237528,3013,150492
72677520,3179,37801
874295622622367744,345,36296
1348456645,1866,21035
556284957,2227,8438
75190347,3169,48860
42790254,3283,141664
1056081252,1967,51246
2414158898,1518,5330
428917289,2361,114101
1255050990,1901,10054
26585459,3346,15894
1301244769,1885,160306
623092640,2153,1759
940943206992117760,161,1342
944264634,2018,11359
751798030240714752,683,62756
215415571,2748,429
340786611,2496,6252
826263947451957248,477,134924
883146734809083904,320,11297
2646923159,1426,30652
4127948117,929,6947
842097720093507594,434,27536
775391431410130944,618,133
61327216,3219,56396
1192641,4087,9383
784896800381661188,591,102786
2726515189,1380,15458
911515682,2032,39126
771745581958107136,628,62083
211399998,2758,60965
244900398,2670,25960
533469077,2253,15330
40892836,3292,18931
885176858542735360,315,11710
459876432,2325,59642
