userId,Tweet,Total
2570001,1,4
6430402,1,2
7950832,1,2
11078752,1,6
14111373,1,2
14731477,2,8
14837505,1,8
14955722,2,4
15171623,1,2
15257975,1,2
15337029,3,30
15914203,3,16
16020526,1,4
16083130,1,4
16144175,1,2
16144921,1,2
16272844,2,4
16808883,2,4
16992411,1,4
17291826,3,8
17791965,2,4
17902151,1,4
17902331,1,4
17936868,1,12
18877177,1,4
18955058,1,8
19557007,1,8
19617424,1,2
19688093,1,4
19747084,2,2
19880131,1,2
19899071,1,2
19968281,1,4
20021730,1,4
20343405,1,12
20440288,1,6
20507980,1,2
20832026,1,2
20939549,1,6
21108176,1,4
21366232,1,4
22924747,1,8
23879043,1,4
23916689,2,16
24081135,1,4
24471437,1,16
24533564,1,8
24638367,2,8
25066687,1,12
25312212,1,2
26477054,2,2
27072348,1,2
27442314,1,2
28366705,1,12
28450257,1,4
28536013,1,8
29837073,2,66
32850199,1,10
32992129,1,2
34428191,1,2
34627945,2,80
34651230,1,2
34774366,1,2
34878201,2,14
35697294,1,6
35778825,1,16
37648057,1,8
39127694,6,360
39614241,1,4
40444642,1,8
42741033,1,4
42760278,1,4
42924745,1,4
43351709,1,6
44568712,2,16
44791735,1,4
45047640,2,4
45079860,1,6
45580956,1,28
46520272,1,4
46789367,1,4
47546320,1,4
49092671,1,2
50444781,1,4
52833129,1,12
54490566,1,2
56576255,1,4
56873912,1,2
58131066,1,4
62540886,2,32
62812851,1,2
65268100,1,8
69999740,1,2
71526695,4,72
71721644,1,2
71966839,2,4
73300838,1,4
74466356,1,2
74559989,1,4
75581387,1,4
75664768,1,8
76489268,1,4
78136933,1,4
80584626,1,2
81369385,1,2
83943430,1,2
84415067,1,6
88055027,1,2
88301622,1,4
89532873,1,2
89661657,1,4
90698674,1,2
92210420,1,2
95076538,4,32
95577307,1,2
97144277,1,4
97357611,1,2
97901184,1,4
98973778,1,14
99714311,1,2
99798805,1,2
99927571,3,70
100756891,2,32
102719961,1,2
102898925,1,2
103515743,1,4
103915548,2,12
104218041,1,4
105288255,1,8
105310173,1,2
110076065,3,66
110805966,1,2
113223716,1,16
113782431,1,2
114770420,1,6
114845234,2,48
116430292,1,18
117858975,1,2
118610408,1,2
119079159,1,16
123618703,1,8
125671989,1,6
126918974,1,4
127661401,1,4
127870924,1,6
127957967,1,4
129949447,1,20
131340045,1,8
131917468,1,4
134318109,1,4
138912787,1,4
140199460,2,4
140365561,1,24
141398631,1,2
144257011,2,112
147035941,1,4
149290267,1,2
150041565,2,8
153441246,1,12
155368552,1,4
156271499,1,8
156772034,1,4
159275841,1,8
161831794,4,64
165020784,1,6
165953892,1,4
169083083,1,2
172957079,1,30
173593549,1,12
175871881,2,4
177584657,3,8
179952711,1,2
180020861,1,2
181475960,1,2
182946698,1,2
185868270,1,4
186403547,1,12
188062786,1,8
188489370,1,2
188662291,2,8
190649207,1,2
194405596,1,8
196548802,1,6
197041678,1,2
197337976,2,6
197810015,1,4
197810410,1,4
197936773,2,16
200726093,2,20
205700041,1,4
209165031,1,4
209290889,1,4
212735385,2,40
216852804,1,2
219114054,1,6
226862813,1,2
226929204,1,8
229902699,1,2
230451063,1,6
230832125,1,2
235101889,1,4
236516672,1,12
237042055,2,12
237602811,1,4
239868536,2,8
240432377,1,8
244900398,1,2
248235208,1,2
249852671,1,4
249958112,1,2
252124919,1,2
253355892,1,4
253971435,1,2
255252221,1,12
255436979,1,2
257123996,1,8
258389458,1,4
258620175,1,12
258989988,1,20
259918393,1,2
260075662,1,4
261043767,1,8
263164345,1,2
263265713,2,28
264565063,1,2
264861120,1,4
264934281,1,2
265136425,1,2
265751498,1,6
266349773,1,2
266415826,1,16
274028528,1,2
274157042,1,16
274181531,2,8
274347391,1,8
274549881,1,6
274734608,1,2
275273367,1,2
278419563,1,24
279900769,1,24
281693070,1,2
281983786,1,28
282807819,1,2
283249629,1,12
284457576,1,2
293580185,2,4
293608450,1,4
295421689,1,12
299148768,2,48
299625678,1,12
300368815,1,4
300401915,2,12
301540810,1,4
301607275,1,2
302177019,1,6
305025304,1,4
306343806,1,8
308674565,1,8
309148309,1,4
310564947,1,2
314173491,1,2
314547020,1,24
314859003,4,56
316578266,2,4
316740460,2,140
327350877,1,8
328255481,2,12
332266896,1,2
332774749,1,2
332927893,1,2
333024802,1,12
333048770,1,2
333749370,1,2
334455708,1,4
336855470,5,100
337799842,1,2
338299835,1,10
338571749,2,14
341405654,1,2
341708717,1,4
343560360,1,6
346811716,1,4
347256858,1,6
350807518,1,8
351289766,1,4
356219203,1,2
356384080,1,4
360598261,1,6
360757205,1,20
361217818,1,2
361488747,1,8
361824146,1,2
363713851,1,2
363808953,1,2
368048293,2,6
369051113,1,4
370002248,1,2
375434404,1,6
377884533,1,2
381615858,2,36
382901521,1,6
387302514,1,2
389880390,4,42
390876355,1,10
394398948,1,2
400718367,1,12
401409879,3,24
402812285,1,4
403425235,1,2
405272234,1,2
407230785,1,24
408072125,1,4
408935869,1,2
410922940,1,2
419887587,1,4
422082976,1,2
422561639,1,4
425339936,1,2
427310702,1,2
428569478,1,4
428806730,2,28
429560058,1,2
430102950,1,2
432398844,1,2
436989977,1,4
437061546,1,2
437472337,1,14
438874843,1,12
442644016,1,2
444372068,1,2
450743408,1,2
451661658,1,4
453092010,1,6
453178329,1,4
453851050,1,2
455076886,1,12
459889874,1,36
469394208,2,2
473129101,1,12
479942012,1,44
481308204,1,8
486556172,1,2
487337102,1,6
487505942,5,50
488506429,1,2
489736849,1,6
493589684,1,2
504136454,1,4
507877806,1,2
508170925,1,8
513913164,1,2
515898783,1,16
517201435,1,2
525365995,1,2
525470625,1,2
525844421,1,2
528887098,1,4
529597351,1,4
538298896,2,16
538400669,1,14
