user_id,days,TotalCount
1192641 ,4087,9383
1917731 ,4080,2998027
2069071 ,4078,1355
5379272 ,4050,12018
5695632 ,4040,6460409
7078452 ,3984,5720
7214092 ,3978,25341
7276862 ,3975,5385
8526602 ,3919,7488
8725112 ,3911,75695
9216842 ,3885,1245
11447982 ,3804,97288
12004852 ,3787,64896
13453872 ,3751,1415
13850422 ,3742,2612520
13941892 ,3740,5257
14111373 ,3726,101094
14156219 ,3720,14759
14196618 ,3714,10104
14276218 ,3704,10090
14364337 ,3694,45232
14391953 ,3690,13156
14437569 ,3687,51362
14642026 ,3671,23644
15038159 ,3637,3638
15158448 ,3626,1085
15159600 ,3626,35245
15222499 ,3620,18690
15224977 ,3619,4098
15269108 ,3615,2131
15418054 ,3601,54283
15430313 ,3600,66782
15501305 ,3594,480479
15514798 ,3593,643
15765683 ,3576,36639
15878631 ,3566,17918
15947342 ,3561,20840
15999667 ,3557,23058
16082911 ,3551,37166
16113629 ,3549,9960
16131215 ,3548,74597
16177626 ,3544,80957
16190532 ,3544,11877
16240608 ,3541,14236
16314587 ,3536,130275
16349648 ,3534,25600
16408881 ,3530,127999
16426922 ,3528,11016
16558638 ,3520,43484
16642762 ,3514,26110
16671012 ,3513,54544
16682114 ,3512,67542
16688389 ,3512,134574
16694382 ,3511,9986
16796836 ,3506,17968
16808883 ,3506,1829
16963091 ,3497,3095
17164500 ,3487,17589
17202747 ,3485,2873
17262898 ,3482,20922
17446621 ,3474,2834888
17456691 ,3473,40664
17556536 ,3469,9400
17643749 ,3465,15954
17741640 ,3462,652
17760630 ,3461,48414
17888709 ,3456,129339
18083420 ,3449,100176
18107739 ,3447,5145
18172853 ,3445,16204
18185339 ,3444,199566
18194928 ,3444,87769
18227879 ,3443,2123
18291619 ,3440,64268
18315919 ,3439,5716
18334459 ,3438,15734
18337332 ,3438,1324
18439432 ,3432,7332
18546349 ,3428,2172
18621090 ,3425,12978
18637081 ,3425,5451
18813840 ,3421,43260
18825344 ,3420,55669
18884545 ,3418,10839
18914960 ,3418,4011
18959644 ,3416,116514
19073217 ,3414,7059
19166087 ,3411,2745
19198493 ,3411,29143
19346837 ,3408,4120
19477874 ,3405,9872
19494356 ,3405,5887
19542578 ,3404,4104
19557007 ,3404,11470
19727603 ,3401,1958
19731260 ,3401,972
19880131 ,3398,57739
20162512 ,3394,65064
20189222 ,3394,39115
20691578 ,3387,115304
20729667 ,3386,103129
20731540 ,3386,13617
20818801 ,3385,274421
20862590 ,3385,57446
20939549 ,3384,16189
21049677 ,3382,39950
21051388 ,3382,2339
21062734 ,3382,64289
21122923 ,3382,8653
21438041 ,3379,4648
21495530 ,3378,267902
21498971 ,3378,13647
21509421 ,3378,32942
21524871 ,3378,11137
21545575 ,3377,6438
21548838 ,3377,23650
21562957 ,3377,23228
21616423 ,3376,33982
21651444 ,3376,14723
21663432 ,3376,28800
21771686 ,3375,25672
22048925 ,3373,5821
22132565 ,3372,1854
22149904 ,3372,144769
22166017 ,3372,13211
22176617 ,3372,2271
22219572 ,3371,5288
22571886 ,3368,25438
22614415 ,3368,777
22635994 ,3368,91630
22718873 ,3367,52131
22837895 ,3367,6521
22866418 ,3366,10462
22868486 ,3366,5156
22873033 ,3366,101717
22924747 ,3366,73986
22929686 ,3366,94028
22954354 ,3366,895233
23114490 ,3365,23760
23149578 ,3364,44365
23170897 ,3364,3730
23237571 ,3364,61657
23318600 ,3363,44272
23330669 ,3363,15402
23345913 ,3363,84942
23456725 ,3362,67537
23531311 ,3361,21209
23594746 ,3361,1315
23720794 ,3360,9692
23983824 ,3359,13878
24081135 ,3358,39734
24165998 ,3358,2420
24310450 ,3357,51009
24311097 ,3357,49123
24471437 ,3356,77072
24529486 ,3356,6286
24594927 ,3356,4254
24687735 ,3355,45703
24702792 ,3355,37264
24776950 ,3355,24125
24882986 ,3354,94811
25016184 ,3353,7481
25025758 ,3353,29447
25066687 ,3353,38739
25067168 ,3353,285569
25077489 ,3353,31545
25080413 ,3353,4132
25135325 ,3353,18369
25149959 ,3353,90026
25312212 ,3352,31066
25542886 ,3351,1180
25564023 ,3351,24999
25605222 ,3350,20534
25717423 ,3350,16640
25817610 ,3349,76828
25877017 ,3349,416980
25945502 ,3348,8660
26218224 ,3347,12337
26477054 ,3346,3642
26575267 ,3346,59713
26585459 ,3346,15894
26630625 ,3345,16598
27059773 ,3344,5688
27109121 ,3344,57868
27442314 ,3342,16275
27463702 ,3342,53465
27464152 ,3342,81971
28038707 ,3339,12427
28071548 ,3339,16603
28104354 ,3339,197288
28450531 ,3337,78803
28523005 ,3337,51452
28652349 ,3337,4441
28670729 ,3336,22541
28721060 ,3336,36036
28775927 ,3336,43259
29017307 ,3335,10789
29144658 ,3334,22647
29400172 ,3333,88263
30171714 ,3330,4556
30265665 ,3330,119366
30317139 ,3330,204
30349866 ,3329,89708
30788083 ,3327,3833
30865805 ,3327,9232
30893656 ,3327,33844
31269363 ,3325,20578
31344369 ,3325,2217
31480713 ,3325,18418
31614824 ,3324,17681
31637700 ,3324,20059
31776520 ,3324,46534
32535236 ,3323,22269
32608996 ,3323,4529
32777872 ,3322,10607
33018977 ,3322,37893
33130137 ,3321,29385
33224637 ,3321,521
33410754 ,3320,469645
33519886 ,3320,5817
33533566 ,3320,17723
33787443 ,3319,2782
34072187 ,3318,40371
34345242 ,3318,4408
34353217 ,3318,3494
34383891 ,3318,77801
34423919 ,3317,3215
34462355 ,3317,58319
34828416 ,3316,1164
34831910 ,3316,97278
34920533 ,3316,18530
35395312 ,3314,20987
35599355 ,3313,126723
36076580 ,3312,3721
36145914 ,3312,64990
36147675 ,3312,6057
36633057 ,3310,4732
36715813 ,3310,25718
36827249 ,3309,1520
36884250 ,3309,81906
37094406 ,3308,13675
37194117 ,3308,3745
37263055 ,3308,73624
37312139 ,3307,3084
37373988 ,3307,1871
37636667 ,3306,46422
37988203 ,3305,2318
38196372 ,3304,796
38561218 ,3302,6087
39001347 ,3300,30180
39421414 ,3298,2776
39469211 ,3298,579
39614241 ,3297,3977
40056818 ,3296,5491
40127487 ,3295,27463
40602923 ,3293,49585
40892836 ,3292,18931
40961343 ,3292,1441
42055453 ,3287,9648
42531784 ,3284,1583
42543528 ,3284,9360
42760278 ,3283,51001
42790254 ,3283,141664
42924745 ,3283,38591
42931112 ,3283,1848
43027334 ,3282,22924
43590098 ,3280,36468
44036930 ,3277,46665
44205647 ,3277,20486
44229815 ,3276,3453
44393435 ,3276,11086
44830932 ,3274,401
45047640 ,3273,12329
45079860 ,3273,46645
45233046 ,3272,85911
45733309 ,3270,119264
45750563 ,3270,15054
45763040 ,3270,11828
45834623 ,3270,27276
46883538 ,3266,1434
46933704 ,3266,2235
47080783 ,3265,8847
47133990 ,3265,25898
47530655 ,3263,138
47546320 ,3263,67379
47577073 ,3263,15961
48153060 ,3261,5554
48166504 ,3261,449
48493229 ,3261,3291
48737488 ,3260,4119
48754929 ,3260,173291
48792578 ,3260,397
49003168 ,3259,49036
49023843 ,3259,6079
49092671 ,3259,1943
49190798 ,3258,31027
49321702 ,3258,51473
49365169 ,3258,26012
49411533 ,3258,3475
49627141 ,3257,87
49699229 ,3257,9042
50047060 ,3256,33296
50444781 ,3255,14071
50446226 ,3255,156358
52197012 ,3250,75979
52418728 ,3249,4431
52459831 ,3249,6570
52605101 ,3248,1131
52973203 ,3247,8246
