id,date,TotalCount,nCluster
3.9127696E7,6.0,360.0,2.0
3.16740448E8,2.0,140.0,2.0
2.14748365E9,1.0,232.0,2.0
2.14748365E9,1.0,204.0,2.0
2.14748365E9,1.0,264.0,2.0
2.14748365E9,1.0,160.0,2.0
2.14748365E9,1.0,200.0,2.0
2.14748365E9,1.0,288.0,2.0
2.14748365E9,1.0,176.0,2.0
2.14748365E9,1.0,156.0,2.0
2.14748365E9,2.0,232.0,2.0
2.14748365E9,2.0,204.0,2.0
2.14748365E9,2.0,264.0,2.0
2.14748365E9,2.0,160.0,2.0
2.14748365E9,2.0,200.0,2.0
2.14748365E9,2.0,288.0,2.0
2.14748365E9,2.0,176.0,2.0
2.14748365E9,2.0,156.0,2.0
2.14748365E9,3.0,232.0,2.0
2.14748365E9,3.0,204.0,2.0
2.14748365E9,3.0,264.0,2.0
2.14748365E9,3.0,160.0,2.0
2.14748365E9,3.0,200.0,2.0
2.14748365E9,3.0,288.0,2.0
2.14748365E9,3.0,176.0,2.0
2.14748365E9,3.0,156.0,2.0
2.14748365E9,6.0,232.0,2.0
2.14748365E9,6.0,204.0,2.0
2.14748365E9,6.0,264.0,2.0
2.14748365E9,6.0,160.0,2.0
2.14748365E9,6.0,200.0,2.0
2.14748365E9,6.0,288.0,2.0
2.14748365E9,6.0,176.0,2.0
2.14748365E9,6.0,156.0,2.0
2.14748365E9,5.0,232.0,2.0
2.14748365E9,5.0,204.0,2.0
2.14748365E9,5.0,264.0,2.0
2.14748365E9,5.0,160.0,2.0
2.14748365E9,5.0,200.0,2.0
2.14748365E9,5.0,288.0,2.0
2.14748365E9,5.0,176.0,2.0
2.14748365E9,5.0,156.0,2.0
2.14748365E9,4.0,232.0,2.0
2.14748365E9,4.0,204.0,2.0
2.14748365E9,4.0,264.0,2.0
2.14748365E9,4.0,160.0,2.0
2.14748365E9,4.0,200.0,2.0
2.14748365E9,4.0,288.0,2.0
2.14748365E9,4.0,176.0,2.0
2.14748365E9,4.0,156.0,2.0
2.14748365E9,8.0,232.0,2.0
2.14748365E9,8.0,204.0,2.0
2.14748365E9,8.0,264.0,2.0
2.14748365E9,8.0,160.0,2.0
2.14748365E9,8.0,200.0,2.0
2.14748365E9,8.0,288.0,2.0
2.14748365E9,8.0,176.0,2.0
2.14748365E9,8.0,156.0,2.0
2.14748365E9,7.0,232.0,2.0
2.14748365E9,7.0,204.0,2.0
2.14748365E9,7.0,264.0,2.0
2.14748365E9,7.0,160.0,2.0
2.14748365E9,7.0,200.0,2.0
2.14748365E9,7.0,288.0,2.0
2.14748365E9,7.0,176.0,2.0
2.14748365E9,7.0,156.0,2.0
2.14748365E9,23.0,232.0,2.0
2.14748365E9,23.0,204.0,2.0
2.14748365E9,23.0,264.0,2.0
2.14748365E9,23.0,160.0,2.0
2.14748365E9,23.0,200.0,2.0
2.14748365E9,23.0,288.0,2.0
2.14748365E9,23.0,176.0,2.0
2.14748365E9,23.0,156.0,2.0
2.14748365E9,9.0,232.0,2.0
2.14748365E9,9.0,204.0,2.0
2.14748365E9,9.0,264.0,2.0
2.14748365E9,9.0,160.0,2.0
2.14748365E9,9.0,200.0,2.0
2.14748365E9,9.0,288.0,2.0
2.14748365E9,9.0,176.0,2.0
2.14748365E9,9.0,156.0,2.0
2.14748365E9,1.0,7176.0,1.0
2.14748365E9,2.0,7176.0,1.0
2.14748365E9,3.0,7176.0,1.0
2.14748365E9,6.0,7176.0,1.0
2.14748365E9,5.0,7176.0,1.0
2.14748365E9,4.0,7176.0,1.0
2.14748365E9,8.0,7176.0,1.0
2.14748365E9,7.0,7176.0,1.0
2.14748365E9,23.0,7176.0,1.0
2.14748365E9,9.0,7176.0,1.0
2570001.0,1.0,4.0,4.0
6430402.0,1.0,2.0,4.0
7950832.0,1.0,2.0,4.0
1.1078752E7,1.0,6.0,4.0
1.4111373E7,1.0,2.0,4.0
1.4731477E7,2.0,8.0,4.0
1.4837505E7,1.0,8.0,4.0
1.4955722E7,2.0,4.0,4.0
1.5171623E7,1.0,2.0,4.0
1.5257975E7,1.0,2.0,4.0
1.5337029E7,3.0,30.0,4.0
1.5914203E7,3.0,16.0,4.0
1.6020526E7,1.0,4.0,4.0
1.608313E7,1.0,4.0,4.0
1.6144175E7,1.0,2.0,4.0
1.6144921E7,1.0,2.0,4.0
1.6272844E7,2.0,4.0,4.0
1.6808884E7,2.0,4.0,4.0
1.6992412E7,1.0,4.0,4.0
1.7291826E7,3.0,8.0,4.0
1.7791964E7,2.0,4.0,4.0
1.7902152E7,1.0,4.0,4.0
